XCoord,YCoord,FID,accessType,NAME,xcoord_cen,ycoord_cen
327795.81000000,667595.64000000,0,Pedestrian,Burdiehouse Burn Valley Park inc Moredun Wood,-3.156187,55.896044
328197.90000000,668225.32000000,1,Pedestrian,Burdiehouse Burn Valley Park inc Moredun Wood,-3.149926,55.901761
328132.44000000,668234.83000000,2,Pedestrian,Burdiehouse Burn Valley Park inc Moredun Wood,-3.150975,55.901836
328378.65000000,668240.75000000,3,Pedestrian,Burdiehouse Burn Valley Park inc Moredun Wood,-3.147040,55.901926
328196.94000000,668246.69000000,4,Pedestrian,Burdiehouse Burn Valley Park inc Moredun Wood,-3.149947,55.901953
328346.98010000,668309.83000000,5,Pedestrian,Burdiehouse Burn Valley Park inc Moredun Wood,-3.147565,55.902542
326469.08000000,668550.15000000,6,Pedestrian,Mortonhall Caravan Park,-3.177657,55.904417
324177.83000000,669438.41000000,7,Pedestrian,Braidburn Valley Park,-3.214545,55.912040
324225.29950000,669585.01000000,8,Pedestrian,Braidburn Valley Park,-3.213827,55.913365
321456.35000000,669698.80000000,9,Pedestrian,Colinton & Craiglockhart Dells,-3.258145,55.913942
322119.84000000,670242.94000000,10,Pedestrian,Colinton & Craiglockhart Dells,-3.247690,55.918938
320602.82000000,670254.90000000,11,Pedestrian,Hailes Quarry Park,-3.271960,55.918797
321597.12050000,670258.82990000,12,Pedestrian,Colinton & Craiglockhart Dells,-3.256056,55.918996
320662.11000000,670356.48000000,13,Pedestrian,Hailes Quarry Park,-3.271042,55.919719
320695.76000000,670369.82000000,14,Pedestrian,Hailes Quarry Park,-3.270507,55.919845
320659.68000000,670427.39000000,15,Pedestrian,Hailes Quarry Park,-3.271101,55.920356
320678.66000000,670461.73000000,16,Pedestrian,Hailes Quarry Park,-3.270808,55.920667
325355.58000000,670488.25000000,17,Pedestrian,Hermitage of Braid/Blackford Hill & Pond,-3.195999,55.921655
321008.10000000,670631.93000000,18,Pedestrian,Hailes Quarry Park,-3.265588,55.922251
327547.41000000,670725.71000000,19,Pedestrian,Inch Park,-3.160999,55.924124
325951.56000000,670739.15000000,20,Pedestrian,Hermitage of Braid/Blackford Hill & Pond,-3.186534,55.924001
327711.42000000,670768.83000000,21,Pedestrian,Inch Park,-3.158387,55.924536
327694.90000000,670785.93000000,22,Pedestrian,Inch Park,-3.158656,55.924687
327409.18000000,670793.82000000,23,Pedestrian,Inch Park,-3.163229,55.924715
327693.44000000,670803.13000000,24,Pedestrian,Inch Park,-3.158684,55.924841
327694.70000000,670805.50000000,25,Pedestrian,Inch Park,-3.158664,55.924863
327451.10000000,670837.95000000,26,Pedestrian,Inch Park,-3.162570,55.925117
328903.64000000,670884.37000000,27,Pedestrian,Craigmillar Castle Park inc Hawkhill,-3.139344,55.925752
323101.75000000,670886.45000000,28,Pedestrian,Easter Craiglockhart Hill,-3.232167,55.924877
327617.09000000,670905.53000000,29,Pedestrian,Inch Park,-3.159933,55.925749
325174.61000000,670940.72000000,30,Pedestrian,Hermitage of Braid/Blackford Hill & Pond,-3.199020,55.925692
327806.47000000,670954.25000000,31,Pedestrian,Inch Park,-3.156916,55.926216
327806.56000000,670955.33000000,32,Pedestrian,Inch Park,-3.156915,55.926225
325546.10000000,670962.40000000,33,Pedestrian,Hermitage of Braid/Blackford Hill & Pond,-3.193083,55.925944
328362.50000000,670985.10000000,34,Pedestrian,Craigmillar Castle Park inc Hawkhill,-3.148028,55.926576
328952.17990000,671025.35000000,35,Pedestrian,Craigmillar Castle Park inc Hawkhill,-3.138604,55.927025
327832.49000000,671058.40000000,36,Pedestrian,Inch Park,-3.156528,55.927155
328443.55000000,671072.64000000,37,Pedestrian,Craigmillar Castle Park inc Hawkhill,-3.146755,55.927374
327537.98000000,671131.87000000,38,Pedestrian,Inch Park,-3.161260,55.927771
319848.33000000,671141.78000000,39,Pedestrian,Sighthill Park,-3.284293,55.926638
319895.18000000,671155.47000000,40,Pedestrian,Sighthill Park,-3.283547,55.926769
328878.56010000,671359.62990000,41,Pedestrian,Craigmillar Castle Park inc Hawkhill,-3.139870,55.930017
330497.80000000,671471.70000000,42,Pedestrian,Hunters Hall Park (JKC),-3.113990,55.931261
330306.86000000,671608.22000000,43,Pedestrian,Hunters Hall Park (JKC),-3.117080,55.932460
321856.84000000,671861.48000000,44,Pedestrian,Saughton Park,-3.252367,55.933435
321793.50000000,671961.74000000,45,Pedestrian,Saughton Park,-3.253410,55.934325
321709.35000000,672018.15000000,46,Pedestrian,Saughton Park,-3.254773,55.934818
322069.14000000,672029.01000000,47,Pedestrian,Saughton Park,-3.249018,55.934974
329610.96000000,672063.05000000,48,Pedestrian,Jewel Park,-3.128335,55.936444
322035.53000000,672075.72000000,49,Pedestrian,Saughton Park,-3.249570,55.935388
329858.73000000,672100.97000000,50,Pedestrian,Jewel Park,-3.124380,55.936821
322153.27000000,672106.76000000,51,Pedestrian,Saughton Park,-3.247695,55.935686
322165.65000000,672117.20000000,52,Pedestrian,Saughton Park,-3.247499,55.935782
321866.76000000,672123.75000000,53,Pedestrian,Saughton Park,-3.252284,55.935792
329859.68990000,672176.75060000,54,Pedestrian,Jewel Park,-3.124384,55.937502
329986.89000000,672201.28000000,55,Pedestrian,Jewel Park,-3.122355,55.937741
329986.90000000,672201.28000000,56,Pedestrian,Jewel Park,-3.122355,55.937741
329983.82000000,672257.54120000,57,Pedestrian,Jewel Park,-3.122419,55.938245
322080.54000000,672265.80000000,58,Pedestrian,Saughton Park,-3.248904,55.937103
