X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area
312888.462688383,664147.900000514,S01008417,0,1,1,0,,20191.7214196,10299931.7674
315544.332199716,662791.499999336,S01008418,0,1,1,0,,25944.8617866,23570497.471
316895.885803805,666033.195499774,S01008419,0,1,1,0,,5738.93510576,1366456.8747
316234.100951234,665916.0,S01008420,0,1,1,0,,1890.09671266,105196.68905
316225.478312951,666284.073499355,S01008421,0,1,1,0,,2645.60903691,146544.070175
316075.5365385,666454.569499295,S01008422,0,1,1,0,,3329.51143926,231579.866967
314488.235982423,667436.332700201,S01008423,0,1,1,0,,29598.5550169,11999499.0276
316999.011611747,667334.50000088,S01008424,0,1,1,0,,3516.71199385,325527.245472
316503.02133913,668852.00000021,S01008425,0,1,1,0,,18368.1085978,7587827.66008
317560.69173122,667843.999500393,S01008426,0,1,1,0,,2653.85984396,187809.797519
317113.604501316,667770.0,S01008427,0,1,1,0,,2759.62382706,185719.448921
317425.513116939,667477.4999989,S01008428,0,1,1,0,,2495.83854545,142539.343412
318141.993310372,667971.131499712,S01008429,0,1,1,0,,2752.99709115,191754.877495
318684.727951307,667883.99999942,S01008430,0,1,1,0,,6492.45626274,468143.476325
318620.230811937,668310.0,S01008431,0,1,1,0,,2715.33365074,172466.638807
318817.639022798,668903.99999913,S01008432,0,1,1,0,,7622.54183163,1326992.10741
319267.137063803,669432.88150014,S01008433,0,1,1,0,,2230.9035089,173836.02066
319655.76655013,669461.302500231,S01008434,0,1,1,0,,3609.61684383,200387.448307
320093.980658966,669229.008000278,S01008435,0,1,1,0,,2896.57921629,295431.225331
320010.140557561,668819.500000207,S01008436,0,1,1,0,,2721.6112553,236560.086131
319711.717638797,668575.65450041,S01008437,0,1,1,0,,2875.17665689,267944.402528
321017.936372,666504.055999599,S01008438,0,1,1,0,,29038.5995578,18303958.5965
321218.047739913,668242.457999802,S01008439,0,1,1,0,,3883.04083603,366898.769386
321707.707819055,668502.500000791,S01008440,0,1,1,0,,3690.75693489,334193.268842
320825.423900116,668587.000500012,S01008441,0,1,1,0,,1751.69543013,117596.621039
321314.781864284,668844.302000969,S01008442,0,1,1,0,,3989.60917834,283895.407441
320901.076350601,669149.499500715,S01008443,0,1,1,0,,3430.02204246,324926.934185
322799.785225982,668591.499999571,S01008444,0,1,1,0,,4962.82132404,633908.727315
322269.193120197,669249.893500039,S01008445,2.25,369,3,3,Colinton & Craiglockhart Dells,3540.1701502,525311.855322
321730.411998192,669335.99999932,S01008446,2.25,369,3,11,Colinton & Craiglockhart Dells,6399.61800543,754069.955448
321213.555742919,669589.0,S01008447,2.25,369,3,8,"Hailes Quarry Park,Colinton & Craiglockhart Dells",4684.04151529,357166.561716
320901.607586737,670021.479500876,S01008448,3.67,487,4,31,"Hailes Quarry Park,Colinton & Craiglockhart Dells",5453.67793126,751343.297444
320495.749046972,669310.385999106,S01008449,0,1,1,0,,1829.23372737,139920.962342
320492.25313703,669579.72900044,S01008450,0,1,1,0,,1545.45542723,79047.3922539
320007.330633815,669511.403000856,S01008451,0,1,1,0,,1218.62913805,62012.42784
320185.089676096,669623.804999253,S01008452,0,1,1,0,,1161.10223679,52595.4420425
320104.852963281,669777.801999668,S01008453,1.42,256,2,3,Hailes Quarry Park,1201.51528052,53552.7734225
319352.49350706,669813.106499122,S01008454,0,1,1,0,,2370.40989074,89683.3779424
318926.561635401,670285.070000281,S01008455,0,1,1,0,,2438.41185761,161309.136158
319279.383849999,670257.637499948,S01008456,0,1,1,0,,1827.07836114,102311.944696
319416.318730427,670416.500000048,S01008457,0,1,1,0,,1876.93412751,94679.119697
319723.389134886,670289.99999971,S01008458,2.65,408,3,13,"Sighthill Park,Hailes Quarry Park",3852.35752841,280304.618718
319905.348118734,669949.83299999,S01008459,1.42,256,2,19,Hailes Quarry Park,2848.92031994,186125.154153
320044.009809875,670302.0,S01008460,1.42,256,2,20,"Hailes Quarry Park,Sighthill Park",1612.25202121,65523.415347
320351.267068933,670341.73700026,S01008461,2.65,408,3,34,"Sighthill Park,Hailes Quarry Park",3182.4298949,138851.293627
320589.696634947,670152.0,S01008462,1.42,256,2,23,Hailes Quarry Park,2243.08281005,121962.89934
320772.358416092,670654.99999957,S01008463,1.42,256,2,23,Hailes Quarry Park,3314.5423643,243734.297094
320606.384832499,670882.475500001,S01008464,2.65,408,3,34,"Sighthill Park,Hailes Quarry Park",2156.22344652,114827.158264
320342.575761265,670733.999499839,S01008465,2.65,408,3,33,"Sighthill Park,Hailes Quarry Park",1782.89458581,115931.378651
320022.441412898,670634.500000401,S01008466,2.65,408,3,30,"Sighthill Park,Hailes Quarry Park",1743.03945447,102261.9755
319898.327803251,670476.499499377,S01008467,2.65,408,3,13,"Sighthill Park,Hailes Quarry Park",1592.7960634,85255.929955
319556.730523482,671033.667500191,S01008468,1.23,252,2,11,Sighthill Park,5770.17936723,769506.965654
320291.277749534,670992.99999956,S01008469,2.65,408,3,24,"Sighthill Park,Hailes Quarry Park",1680.65010893,86358.617418
320224.971806308,671234.500000215,S01008470,1.23,252,2,11,Sighthill Park,2306.07411254,115266.290634
319984.966552595,671491.500000524,S01008471,1.23,252,2,11,Sighthill Park,2059.32390475,112547.216059
320467.649874566,671418.855999102,S01008472,2.65,408,3,16,"Sighthill Park,Hailes Quarry Park",2677.46472995,226721.520771
320795.197544243,671490.499999374,S01008473,0,1,1,0,,2147.12094772,92240.5124055
320739.793914556,671790.521500743,S01008474,2.75,425,3,1,Saughton Park,1927.5763611,139598.091087
321171.527747601,671763.99999918,S01008475,2.75,425,3,18,Saughton Park,2473.81461969,91988.1556389
321279.095628835,671953.49999937,S01008476,2.75,425,3,38,Saughton Park,1444.86846597,93797.2565
321603.289212916,672188.99999959,S01008477,5.06,525,5,50,"Corstorphine Hill,Saughton Park",2228.27067207,119099.647349
321985.197271072,671891.99999916,S01008478,2.75,425,3,48,Saughton Park,4121.96269791,327571.938357
321637.439846346,671705.257499785,S01008479,2.75,425,3,48,Saughton Park,2465.00840054,149007.467413
321087.107675164,671556.499999061,S01008480,2.75,425,3,9,Saughton Park,1578.95767976,80909.4539265
321086.331761112,671215.230999604,S01008481,4.17,508,4,36,"Hailes Quarry Park,Saughton Park",3191.93576225,337472.014862
321320.677342229,670907.499999922,S01008482,1.42,256,2,19,Hailes Quarry Park,1710.47746625,91619.526272
321023.045247825,670514.499999248,S01008483,3.67,487,4,25,"Hailes Quarry Park,Colinton & Craiglockhart Dells",1498.19472503,63507.3045
321273.97001815,670522.500000784,S01008484,3.67,487,4,28,"Hailes Quarry Park,Colinton & Craiglockhart Dells",2407.44159998,176313.765016
321719.197765872,670723.49999934,S01008485,3.67,487,4,11,"Hailes Quarry Park,Colinton & Craiglockhart Dells",2190.4565815,228523.752815
321722.643924899,671281.129999833,S01008486,4.17,508,4,47,"Hailes Quarry Park,Saughton Park",2805.37451854,258025.045695
322062.586108661,671241.993500808,S01008487,5,523,5,51,"Colinton & Craiglockhart Dells,Saughton Park",3575.58411326,267562.04975
322388.995776309,671266.394499245,S01008488,0,1,1,0,,1846.37725406,100449.448734
322354.24448659,671736.000499642,S01008489,2.75,425,3,48,Saughton Park,1596.57638108,95744.978828
322568.50650496,671553.985499992,S01008490,0,1,1,2,Saughton Park,1356.52618113,88226.277823
322751.801318421,671693.397500099,S01008491,2.75,425,3,27,Saughton Park,1764.6852365,92887.8372799
322830.8261,672005.500500648,S01008492,0,1,1,4,Saughton Park,1414.16398289,74847.3390536
322575.372380533,672104.500000497,S01008493,2.75,425,3,48,Saughton Park,2890.76798674,178472.24241
322440.634627233,672429.500000425,S01008494,5.06,525,5,50,"Corstorphine Hill,Saughton Park",4074.65275836,270628.121375
322939.005952549,672439.500000097,S01008495,0,1,1,2,Saughton Park,1554.98261261,100496.977862
322998.22738198,672161.306499249,S01008496,0,1,1,2,Saughton Park,905.848681659,34585.485853
