X,Y,DataZone,SUM_Recrea,Rank_1,Quintile,Nearest_gr,Parks_acce,Shape_Leng,Shape_Area,datazone_name
312888.4627,664147.9,S01008417,0,1,1,0,,20191.72142,10299931.77,Balerno and Bonnington Village - 01
315544.3322,662791.5,S01008418,0,1,1,0,,25944.86179,23570497.47,Balerno and Bonnington Village - 02
316895.8858,666033.1955,S01008419,0,1,1,0,,5738.935106,1366456.875,Balerno and Bonnington Village - 03
316234.101,665916,S01008420,0,1,1,0,,1890.096713,105196.6891,Balerno and Bonnington Village - 04
316225.4783,666284.0735,S01008421,0,1,1,0,,2645.609037,146544.0702,Balerno and Bonnington Village - 05
316075.5365,666454.5695,S01008422,0,1,1,0,,3329.511439,231579.867,Balerno and Bonnington Village - 06
314488.236,667436.3327,S01008423,0,1,1,0,,29598.55502,11999499.03,Balerno and Bonnington Village - 07
316999.0116,667334.5,S01008424,0,1,1,0,,3516.711994,325527.2455,Balerno and Bonnington Village - 08
316503.0213,668852,S01008425,0,1,1,0,,18368.1086,7587827.66,Currie West - 01
317560.6917,667843.9995,S01008426,0,1,1,0,,2653.859844,187809.7975,Currie West - 02
317113.6045,667770,S01008427,0,1,1,0,,2759.623827,185719.4489,Currie West - 03
317425.5131,667477.5,S01008428,0,1,1,0,,2495.838545,142539.3434,Currie West - 04
318141.9933,667971.1315,S01008429,0,1,1,0,,2752.997091,191754.8775,Currie East - 01
318684.728,667884,S01008430,0,1,1,0,,6492.456263,468143.4763,Currie East - 02
318620.2308,668310,S01008431,0,1,1,0,,2715.333651,172466.6388,Currie East - 03
318817.639,668904,S01008432,0,1,1,0,,7622.541832,1326992.107,Currie East - 04
319267.1371,669432.8815,S01008433,0,1,1,0,,2230.903509,173836.0207,Baberton and Juniper Green - 01
319655.7666,669461.3025,S01008434,0,1,1,0,,3609.616844,200387.4483,Baberton and Juniper Green - 02
320093.9807,669229.008,S01008435,0,1,1,0,,2896.579216,295431.2253,Baberton and Juniper Green - 03
320010.1406,668819.5,S01008436,0,1,1,0,,2721.611255,236560.0861,Baberton and Juniper Green - 04
