Greenspace Name,Recreational Quality Score,Greenspace_Grade
Mortonhall Caravan Park,0.79,Grade C
Leith Links,2.15,Grade B
Jewel Park,1.22,Grade C
Wester Craiglockhart Hill,1.48,Grade C
Hailes Quarry Park,1.42,Grade C
Cramond Foreshore,2.34,Grade B
Duddingston Loch and Bird Sanctuary,1.67,Grade C
Royal Botanic Gardens,1.51,Grade C
Inch Park,2.3,Grade B
Craigmillar Castle Park,2.86,Grade B
The Meadows and Bruntsfield Links,3.66,Grade A
Princes Street Gardens East & West,3.18,Grade B
Sighthill Park,1.23,Grade C
Davidsons Mains Park,2.36,Grade B
Gypsy Brae Recreation Ground,1.46,Grade C
Hermitage of Braid/Blackford Hill & Pond,2.31,Grade B
Burdiehouse Burn Valley Park,1.71,Grade B
Inverleith Park,2.52,Grade B
Holyrood Park,2.14,Grade B
Easter Craiglockhart Hill,1.99,Grade B
Figgate Burn Park,2.2,Grade B
Braidburn Valley Park,2.78,Grade B
Lauriston Castle,2.66,Grade B
Saughton Park,2.75,Grade B
Gyle Park & Playing Fields,1.68,Grade B
Meadowfield Park,1.68,Grade B
Hunters Hall Park (JKC),1.48,Grade C
Colinton & Craiglockhart Dells,2.25,Grade B
Cammo Estate,1.66,Grade C
Corstorphine Hill,2.31,Grade B
