X,Y,CLASSIFICA,NAME,Area_ha,xcoord_cen,ycoord_cen,qual_score
327426.097631736,675950.825000196,Premier Park,Leith Links,10.81424904,327420.119545,675912.068198,2.15
325552.332786769,672800.400000946,Premier Park,The Meadows and Bruntsfield Links,25.13345528,325684.172138,672662.263609,3.66
320311.020687271,675987.525000421,Gardens,Lauriston Castle,12.98687649,320302.945517,676011.864534,2.66
324742.652933978,675363.32499932,,Royal Botanic Gardens,23.2190361,324642.897655,675335.734526,1.51
328505.841868946,673183.175000025,Community Park,Meadowfield Park,17.7522583,328496.887461,673212.58184,1.68
320609.6935453,674034.674999271,Natural Heritage Park,Corstorphine Hill,78.75483704,320613.092802,674064.624584,2.31
325211.187866572,673607.874999507,Premier Park,Princes Street Gardens East & West,11.03589249,325158.172533,673661.336923,3.18
319741.689289127,671184.888301183,Community Park,Sighthill Park,13.09779072,319732.432844,671188.12349,1.23
327941.945601734,672335.274999822,,Duddingston Loch and Bird Sanctuary,20.61418724,328125.233764,672348.113611,1.67
327302.894416296,673935.664999192,,Holyrood Park,17.58906937,327341.963737,673963.352781,2.14
320871.736382819,670554.244999699,Community Park,Hailes Quarry Park,13.43453884,320840.495853,670519.423766,1.42
320318.1411935,675249.275000239,City Park,Davidsons Mains Park,14.42911816,320244.257106,675242.144463,2.36
321727.611888949,677110.025000074,City Park,Gypsy Brae Recreation Ground,20.23427391,321673.386775,677083.7823,1.46
321959.919566372,672031.85000045,Premier Park,Saughton Park,13.98231506,322011.26974,672008.855758,2.75
325184.689868944,672548.40000025,Premier Park,The Meadows and Bruntsfield Links,10.24727535,325129.115292,672528.097713,3.66
318897.469221755,672556.830000883,City Park,Gyle Park & Playing Fields,16.56062508,318793.257489,672574.032616,1.68
322886.125061565,670102.525000107,,Wester Craiglockhart Hill,12.35237598,322960.398826,670115.787741,1.48
325632.07499989,670512.750000034,Natural Heritage Park,Hermitage of Braid/Blackford Hill & Pond,57.59708023,325430.761981,670498.89659,2.31
324192.070115966,669823.65,Community Park,Braidburn Valley Park,12.26170731,324155.6867,669781.790069,2.78
326387.866327066,668561.010449712,,Mortonhall Caravan Park,10.08637238,326394.296239,668569.662466,0.79
320828.333768528,676996.474999064,City Park,Cramond Foreshore,17.7511673,320444.00278,676989.426929,2.34
327722.96785208,670829.799999868,City Park,Inch Park,25.28011131,327692.350045,670873.628473,2.3
330362.281818145,671432.850000355,City Park,Hunters Hall Park (JKC),20.69021225,330369.406685,671435.689254,0
330018.293111469,673651.99999928,Community Park,Figgate Burn Park,10.97386265,329707.180199,673547.212043,2.2
323094.072787676,670701.125000546,Natural Heritage Park,Easter Craiglockhart Hill,10.2208128,323082.183762,670641.758865,1.99
327877.681792689,667807.249999122,Community Park,Burdiehouse Burn Valley Park,12.30652714,327995.623477,667923.446355,1.71
328713.854000935,670962.699999539,Natural Heritage Park,Craigmillar Castle Park,62.68624496,328566.303689,670923.341846,2.86
330227.72740621,672261.61500067,Community Park,Jewel Park,11.45547581,330145.764235,672217.1598,1.22
324227.111694006,675185.600000089,Premier Park,Inverleith Park,20.89716911,324151.69837,675163.17362,2.52
317483.75937499,674679.70000028,Natural Heritage Park,Cammo Estate,38.71232986,317486.397761,674698.342139,1.66
321769.540094625,669971.325000456,Natural Heritage Park,Colinton & Craiglockhart Dells,24.14185143,321674.696872,669971.3773,2.25
327453.649871282,673267.0,,Holyrood Park,215.10374451,327501.211825,673211.730887,2.14
