datazone_code,datazone_name,greenspace_name
S01008417,Balerno and Bonnington Village - 01,-
S01008418,Balerno and Bonnington Village - 02,-
S01008419,Balerno and Bonnington Village - 03,-
S01008420,Balerno and Bonnington Village - 04,-
S01008421,Balerno and Bonnington Village - 05,-
S01008422,Balerno and Bonnington Village - 06,-
S01008423,Balerno and Bonnington Village - 07,-
S01008424,Balerno and Bonnington Village - 08,-
S01008425,Currie West - 01,-
S01008426,Currie West - 02,-
S01008427,Currie West - 03,-
S01008428,Currie West - 04,-
S01008429,Currie East - 01,-
S01008430,Currie East - 02,-
S01008431,Currie East - 03,-
S01008432,Currie East - 04,-
S01008433,Baberton and Juniper Green - 01,-
S01008434,Baberton and Juniper Green - 02,-
S01008435,Baberton and Juniper Green - 03,-
S01008436,Baberton and Juniper Green - 04,-
S01008437,Baberton and Juniper Green - 05,-
S01008438,Bonaly and The Pentlands - 01,-
S01008439,Bonaly and The Pentlands - 02,-
S01008440,Bonaly and The Pentlands - 03,-
S01008441,Bonaly and The Pentlands - 04,-
S01008442,Bonaly and The Pentlands - 05,-
S01008443,Bonaly and The Pentlands - 06,-
S01008444,Colinton and Kingsknowe - 01,-
S01008445,Colinton and Kingsknowe - 02,Colinton & Craiglockhart Dells 
S01008446,Colinton and Kingsknowe - 03,Colinton & Craiglockhart Dells 
S01008447,Colinton and Kingsknowe - 04,Colinton & Craiglockhart Dells 
S01008448,Colinton and Kingsknowe - 05,Hailes Quarry Park 
S01008448,Colinton and Kingsknowe - 05,Colinton & Craiglockhart Dells 
S01008449,Clovenstone and Wester Hailes - 01,-
S01008450,Clovenstone and Wester Hailes - 02,-
S01008451,Clovenstone and Wester Hailes - 03,-
S01008452,Clovenstone and Wester Hailes - 04,-
S01008453,Clovenstone and Wester Hailes - 05,Hailes Quarry Park 
S01008454,The Calders - 01,-
S01008455,The Calders - 02,-
S01008456,The Calders - 03,-
S01008457,The Calders - 04,-
S01008458,The Calders - 05,Sighthill Park 
S01008458,The Calders - 05,Hailes Quarry Park 
S01008459,Murrayburn and Wester Hailes North - 01,Hailes Quarry Park 
S01008460,Murrayburn and Wester Hailes North - 02,Hailes Quarry Park 
S01008461,Murrayburn and Wester Hailes North - 03,Sighthill Park 
S01008461,Murrayburn and Wester Hailes North - 03,Hailes Quarry Park 
S01008462,Murrayburn and Wester Hailes North - 04,Hailes Quarry Park 
S01008463,Murrayburn and Wester Hailes North - 05,Hailes Quarry Park 
S01008464,Parkhead and Sighthill - 01,Sighthill Park 
S01008464,Parkhead and Sighthill - 01,Hailes Quarry Park 
S01008465,Parkhead and Sighthill - 02,Sighthill Park 
S01008465,Parkhead and Sighthill - 02,Hailes Quarry Park 
S01008466,Parkhead and Sighthill - 03,Sighthill Park 
S01008466,Parkhead and Sighthill - 03,Hailes Quarry Park 
S01008467,Parkhead and Sighthill - 04,Sighthill Park 
S01008467,Parkhead and Sighthill - 04,Hailes Quarry Park 
S01008468,Broomhouse and Bankhead - 01,Sighthill Park 
S01008469,Broomhouse and Bankhead - 02,Sighthill Park 
S01008469,Broomhouse and Bankhead - 02,Hailes Quarry Park 
S01008470,Broomhouse and Bankhead - 03,Sighthill Park 
S01008471,Broomhouse and Bankhead - 04,Sighthill Park 
S01008472,Broomhouse and Bankhead - 05,Sighthill Park 
S01008472,Broomhouse and Bankhead - 05,Hailes Quarry Park 
S01008473,Stenhouse and Saughton Mains - 01,-
S01008474,Stenhouse and Saughton Mains - 02,Saughton Park 
S01008475,Stenhouse and Saughton Mains - 03,Saughton Park 
S01008476,Stenhouse and Saughton Mains - 04,Saughton Park 
S01008477,Stenhouse and Saughton Mains - 05,Corstorphine Hill 
S01008477,Stenhouse and Saughton Mains - 05,Saughton Park 
S01008478,Stenhouse and Saughton Mains - 06,Saughton Park 
S01008479,Stenhouse and Saughton Mains - 07,Saughton Park 
S01008480,Stenhouse and Saughton Mains - 08,Saughton Park 
S01008481,Longstone and Saughton - 01,Hailes Quarry Park 
S01008481,Longstone and Saughton - 01,Saughton Park 
S01008482,Longstone and Saughton - 02,Hailes Quarry Park 
S01008483,Longstone and Saughton - 03,Hailes Quarry Park 
S01008483,Longstone and Saughton - 03,Colinton & Craiglockhart Dells 
S01008484,Longstone and Saughton - 04,Hailes Quarry Park 
S01008484,Longstone and Saughton - 04,Colinton & Craiglockhart Dells 
S01008485,Longstone and Saughton - 05,Hailes Quarry Park 
S01008485,Longstone and Saughton - 05,Colinton & Craiglockhart Dells 
S01008486,Slateford and Chesser - 01,Hailes Quarry Park 
S01008486,Slateford and Chesser - 01,Saughton Park 
S01008487,Slateford and Chesser - 02,Colinton & Craiglockhart Dells 
S01008487,Slateford and Chesser - 02,Saughton Park 
S01008488,Slateford and Chesser - 03,-
S01008489,Slateford and Chesser - 04,Saughton Park 
S01008490,Slateford and Chesser - 05,-
S01008491,Slateford and Chesser - 06,Saughton Park 
S01008492,Gorgie West - 01,-
S01008493,Gorgie West - 02,Saughton Park 
S01008494,Gorgie West - 03,Corstorphine Hill 
S01008494,Gorgie West - 03,Saughton Park 
S01008495,Gorgie West - 04,-
S01008496,Gorgie West - 05,-
S01008497,Gorgie East - 01,-
S01008498,Gorgie East - 02,-
S01008499,Gorgie East - 03,-
S01008500,Gorgie East - 04,-
S01008501,Gorgie East - 05,-
S01008502,Shandon - 01,-
S01008503,Shandon - 02,-
S01008504,Shandon - 03,-
S01008505,Shandon - 04,-
S01008506,Shandon - 05,-
S01008507,Shandon - 06,-
S01008508,Craiglockhart - 01,Easter Craiglockhart Hill 
S01008509,Craiglockhart - 02,Easter Craiglockhart Hill 
S01008510,Craiglockhart - 03,Wester Craiglockhart Hill 
S01008510,Craiglockhart - 03,Colinton & Craiglockhart Dells 
S01008510,Craiglockhart - 03,Easter Craiglockhart Hill 
S01008511,Craiglockhart - 04,Wester Craiglockhart Hill 
S01008511,Craiglockhart - 04,Colinton & Craiglockhart Dells 
S01008511,Craiglockhart - 04,Easter Craiglockhart Hill 
S01008512,Craiglockhart - 05,Wester Craiglockhart Hill 
S01008512,Craiglockhart - 05,Colinton & Craiglockhart Dells 
S01008513,Craiglockhart - 06,Colinton & Craiglockhart Dells 
S01008514,Morningside and Craighouse - 01,Wester Craiglockhart Hill 
S01008514,Morningside and Craighouse - 01,Easter Craiglockhart Hill 
S01008515,Morningside and Craighouse - 02,-
S01008516,Morningside and Craighouse - 03,Easter Craiglockhart Hill 
S01008517,Morningside and Craighouse - 04,Hermitage of Braid/Blackford Hill & Pond 
S01008518,Morningside and Craighouse - 05,-
S01008519,Greenbank and The Braids - 01,Braidburn Valley Park 
S01008520,Greenbank and The Braids - 02,Hermitage of Braid/Blackford Hill & Pond 
S01008520,Greenbank and The Braids - 02,Braidburn Valley Park 
S01008521,Greenbank and The Braids - 03,Braidburn Valley Park 
S01008522,Greenbank and The Braids - 04,Wester Craiglockhart Hill 
S01008522,Greenbank and The Braids - 04,Braidburn Valley Park 
S01008523,Greenbank and The Braids - 05,Wester Craiglockhart Hill 
S01008523,Greenbank and The Braids - 05,Braidburn Valley Park 
S01008524,Colinton Mains and Firrhill - 01,Braidburn Valley Park 
S01008525,Colinton Mains and Firrhill - 02,Braidburn Valley Park 
S01008526,Colinton Mains and Firrhill - 03,-
S01008527,Colinton Mains and Firrhill - 04,-
S01008528,Colinton Mains and Firrhill - 05,-
S01008529,Oxgangs - 01,-
S01008530,Oxgangs - 02,Braidburn Valley Park 
S01008531,Oxgangs - 03,Braidburn Valley Park 
S01008532,Oxgangs - 04,-
S01008533,Comiston and Swanston - 01,-
S01008534,Comiston and Swanston - 02,-
S01008535,Comiston and Swanston - 03,-
S01008536,Comiston and Swanston - 04,-
S01008537,Comiston and Swanston - 05,-
S01008538,Comiston and Swanston - 06,-
S01008539,Comiston and Swanston - 07,Braidburn Valley Park 
S01008540,Comiston and Swanston - 08,Braidburn Valley Park 
S01008541,Fairmilehead - 01,Braidburn Valley Park 
S01008542,Fairmilehead - 02,Braidburn Valley Park 
S01008543,Fairmilehead - 03,-
S01008544,Fairmilehead - 04,-
S01008545,Fairmilehead - 05,-
S01008546,Fairmilehead - 06,-
